  0.00s  INFO Bundling project...
  5.59s  INFO Compiled [140/208]: unicode_segmentation
  5.60s  INFO Compiled [141/208]: core_graphics
  5.63s  INFO Compiled [142/208]: litrs
  5.71s  INFO Compiled [143/208]: either
  5.89s  INFO Compiled [144/208]: yoke
  5.93s  INFO Compiled [145/208]: objc2_quartz_core
  5.96s  INFO Compiled [146/208]: document_features
  6.04s  INFO Compiled [147/208]: weezl
  6.08s  INFO Compiled [148/208]: raw_window_metal
  6.19s  INFO Compiled [149/208]: form_urlencoded
  6.41s  INFO Compiled [150/208]: wgpu_types
  6.46s  INFO Compiled [151/208]: objc2_metal
  6.46s  INFO Compiled [152/208]: zerovec
  6.49s  INFO Compiled [153/208]: itertools
  6.54s  INFO Compiled [154/208]: potential_utf
  6.56s  INFO Compiled [155/208]: tinystr
  6.59s  INFO Compiled [156/208]: zerocopy
  6.67s  INFO Compiled [157/208]: zerotrie
  6.80s  INFO Compiled [159/208]: ahash
  6.85s  INFO Compiled [160/208]: half
  6.96s  INFO Compiled [161/208]: icu_collections
  7.29s  INFO Compiled [162/208]: objc2_app_kit
  7.51s  INFO Compiled [163/208]: vello_common
  7.67s  INFO Compiled [164/208]: icu_provider
  8.10s  INFO Compiled [165/208]: png
  8.15s  INFO Compiled [166/208]: idna_adapter
  8.27s  INFO Compiled [167/208]: icu_locale_core
  8.32s  INFO Compiled [168/208]: icu_properties
  8.38s  INFO Compiled [169/208]: icu_normalizer
  8.68s  INFO Compiled [170/208]: objc2_core_graphics
  8.81s  INFO Compiled [171/208]: tiff
  8.86s  INFO Compiled [172/208]: winit
  8.96s  INFO Compiled [173/208]: byteorder_lite
  8.98s  INFO Compiled [174/208]: build-script-build
  9.46s  INFO Compiled [176/208]: accesskit_consumer
  9.68s  INFO Compiled [177/208]: idna
 10.82s  INFO Compiled [178/208]: url
 11.16s  INFO Compiled [179/208]: objc2_app_kit
 11.17s  INFO Compiled [180/208]: pxfm
 11.24s  INFO Compiled [181/208]: wgpu_naga_bridge
 11.27s  INFO Compiled [182/208]: vello_cpu
 11.32s  INFO Compiled [183/208]: static_assertions
 11.33s  INFO Compiled [184/208]: accesskit_macos
 11.36s  INFO Compiled [185/208]: web_time
 11.39s  INFO Compiled [186/208]: rustc_hash
 11.45s  INFO Compiled [187/208]: core_foundation
 11.55s  INFO Compiled [188/208]: webbrowser
 11.56s  INFO Compiled [189/208]: type_map
 11.63s  INFO Compiled [190/208]: accesskit_winit
 11.64s  INFO Compiled [191/208]: pollster
 13.66s  INFO Compiled [192/208]: read_fonts
 13.70s  INFO Compiled [193/208]: wgpu_core_deps_apple
 14.44s  INFO Compiled [194/208]: arboard
