app,crate_root,clean_build_secs,incremental_secs,binary_bytes,binary_stripped_bytes,deps_unique,accesskit_in_deps,loc_rust,loc_other_ui,process_survived_8s
iced-grid,apps/iced-grid,25,2,,9017754,140,0,700,0,yes
egui-grid,apps/egui-grid,27,1,,11114906,162,1,616,0,yes
gpui-grid,apps/gpui-grid,56,1,,4613734,397,0,655,0,yes
tauri-grid,apps/tauri-grid,36,10,,6710886,204,0,259,553,yes
xilem-grid,apps/xilem-grid,26,2,,10380902,143,1,1022,0,yes
slint-grid,apps/slint-grid,47,5,,14050918,306,1,519,237,yes
dioxus-grid,apps/dioxus-grid,31,1,,5347738,284,0,553,0,yes
iced-fetch,apps/iced-fetch,28,2,,10485760,197,0,584,0,yes
egui-fetch,apps/egui-fetch,30,1,,13107200,180,1,650,0,yes
gpui-fetch,apps/gpui-fetch,56,2,,6606029,399,0,739,0,yes
tauri-fetch,apps/tauri-fetch,42,11,,11848909,255,0,53,456,yes
xilem-fetch,apps/xilem-fetch,31,3,,11639194,198,1,616,0,yes
slint-fetch,apps/slint-fetch,47,5,,15204352,332,1,474,142,yes
dioxus-fetch,apps/dioxus-fetch,33,1,,6186598,302,0,493,0,yes
iced-peek,apps/iced-peek,54,7,,16672358,253,0,854,0,yes
egui-peek,apps/egui-peek,32,2,,12478054,191,1,1177,0,yes
gpui-peek,apps/gpui-peek,56,2,,7130317,407,0,1369,0,yes
tauri-peek,apps/tauri-peek,37,9,,7235174,233,0,273,566,yes
xilem-peek,apps/xilem-peek,32,2,,11534336,178,1,1071,0,yes
slint-peek,apps/slint-peek,50,3,,14680064,336,1,635,163,yes
dioxus-peek,apps/dioxus-peek,37,1,,6081741,305,0,983,0,yes
freya-grid,apps/freya-grid,30,1,21544336,19397128,192,4,724,0,yes
freya-fetch,apps/freya-fetch,31,1,23209968,20761576,245,4,654,0,yes
freya-peek,apps/freya-peek,32,1,23469248,20989528,242,4,585,0,yes
vizia-grid,apps/vizia-grid,17,2,23315888,20835960,128,4,672,0,yes
vizia-fetch,apps/vizia-fetch,19,2,24770080,22120808,187,4,800,0,yes
vizia-peek,apps/vizia-peek,22,1,23413552,21014680,189,4,808,0,yes
floem-grid,apps/floem-grid,44,2,17904912,15165080,226,0,667,0,yes
floem-fetch,apps/floem-fetch,48,2,19840448,16736088,271,0,711,0,yes
floem-peek,apps/floem-peek,59,2,20860752,17667224,313,0,947,0,yes
