  0.00s  INFO Bundling project...
  6.76s  INFO Compiled [140/389]: aligned_vec
  6.93s  INFO Compiled [141/389]: flate2
  6.93s  INFO Compiled [142/389]: build-script-build
  7.02s  INFO Compiled [143/389]: arrayvec
  7.08s  INFO Compiled [144/389]: build-script-build
  7.12s  INFO Compiled [145/389]: build-script-build
  7.20s  INFO Compiled [146/389]: build-script-build
  7.22s  INFO Compiled [147/389]: percent_encoding
  7.40s  INFO Compiled [149/389]: serde
  7.46s  INFO Compiled [150/389]: subsecond_types
  7.57s  INFO Compiled [151/389]: generic_array
  7.58s  INFO Compiled [152/389]: pin_project
  7.71s  INFO Compiled [153/389]: subsecond
  7.86s  INFO Compiled [154/389]: slotmap
  7.89s  INFO Compiled [155/389]: yoke
  7.98s  INFO Compiled [156/389]: bytes
  8.34s  INFO Compiled [159/389]: zerocopy
  8.50s  INFO Compiled [160/389]: zmij
  8.58s  INFO Compiled [162/389]: getrandom
  8.63s  INFO Compiled [163/389]: proc_macro2_diagnostics
  8.92s  INFO Compiled [166/389]: v_frame
  8.98s  INFO Compiled [167/389]: num_bigint
  9.11s  INFO Compiled [168/389]: warnings
  9.27s  INFO Compiled [169/389]: num_rational
  9.31s  INFO Compiled [170/389]: keyboard_types
  9.32s  INFO Compiled [171/389]: const_serialize_macro
  9.35s  INFO Compiled [172/389]: core_graphics_types
  9.38s  INFO Compiled [173/389]: as_slice
  9.51s  INFO Compiled [174/389]: foreign_types_macros
  9.53s  INFO Compiled [175/389]: build-script-build
  9.56s  INFO Compiled [176/389]: foreign_types_shared
  9.65s  INFO Compiled [177/389]: build-script-build
  9.79s  INFO Compiled [178/389]: built
  9.79s  INFO Compiled [179/389]: build-script-build
  9.86s  INFO Compiled [180/389]: fdeflate
  9.87s  INFO Compiled [181/389]: objc2_foundation
  9.87s  INFO Compiled [182/389]: zerovec
  9.88s  INFO Compiled [183/389]: dioxus_cli_config
  9.94s  INFO Compiled [184/389]: potential_utf
  9.97s  INFO Compiled [185/389]: tinystr
 10.01s  INFO Compiled [186/389]: build-script-build
 10.07s  INFO Compiled [187/389]: rayon
 10.10s  INFO Compiled [189/389]: zerotrie
 10.15s  INFO Compiled [190/389]: aligned
 10.35s  INFO Compiled [192/389]: icu_collections
 10.54s  INFO Compiled [193/389]: darling
 10.68s  INFO Compiled [194/389]: dioxus_signals
