  0.00s  INFO Bundling project...
  6.37s  INFO Compiled [147/318]: build-script-build
  6.39s  INFO Compiled [148/318]: event_listener
  6.44s  INFO Compiled [149/318]: num_integer
  6.45s  INFO Compiled [150/318]: futures_task
  6.48s  INFO Compiled [152/318]: beul
  6.54s  INFO Compiled [153/318]: async_watch
  6.59s  INFO Compiled [154/318]: parking_lot
  6.63s  INFO Compiled [155/318]: build-script-build
  6.81s  INFO Compiled [156/318]: memchr
  6.85s  INFO Compiled [157/318]: hotpath
  6.91s  INFO Compiled [158/318]: ragnarok
  6.97s  INFO Compiled [159/318]: anyhow
  7.04s  INFO Compiled [160/318]: rayon_core
  7.11s  INFO Compiled [161/318]: errno
  7.12s  INFO Compiled [162/318]: equator
  7.15s  INFO Compiled [163/318]: generational_box
  7.23s  INFO Compiled [164/318]: concurrent_queue
  7.23s  INFO Compiled [165/318]: aligned_vec
  7.43s  INFO Compiled [167/318]: stable_deref_trait
  7.49s  INFO Compiled [168/318]: bindgen
  7.51s  INFO Compiled [169/318]: adler2
  7.51s  INFO Compiled [170/318]: torin
  7.60s  INFO Compiled [171/318]: pathgraph
  7.62s  INFO Compiled [172/318]: log
  7.70s  INFO Compiled [173/318]: thiserror_impl
  7.73s  INFO Compiled [174/318]: arrayvec
  7.76s  INFO Compiled [175/318]: keyboard_types
  7.76s  INFO Compiled [176/318]: as_slice
  7.81s  INFO Compiled [177/318]: bytes
  7.89s  INFO Compiled [178/318]: build-script-build
  7.95s  INFO Compiled [179/318]: v_frame
  8.38s  INFO Compiled [182/318]: build-script-build
  8.51s  INFO Compiled [183/318]: thiserror
  8.68s  INFO Compiled [184/318]: event_listener
  8.79s  INFO Compiled [185/318]: futures_util
  8.82s  INFO Compiled [186/318]: num_rational
  8.84s  INFO Compiled [188/318]: build-script-build
  8.96s  INFO Compiled [189/318]: miniz_oxide
  9.00s  INFO Compiled [190/318]: version_check
  9.01s  INFO Compiled [191/318]: build-script-build
  9.03s  INFO Compiled [192/318]: build-script-build
  9.12s  INFO Compiled [193/318]: bytemuck
  9.12s  INFO Compiled [194/318]: core_foundation_sys
  9.14s  INFO Compiled [195/318]: objc2_foundation
  9.20s  INFO Compiled [196/318]: zerocopy_derive
  9.29s  INFO Compiled [197/318]: built
  9.36s  INFO Compiled [199/318]: rayon
  9.38s  INFO Compiled [200/318]: core_foundation
  9.43s  INFO Compiled [201/318]: build-script-build
  9.50s  INFO Compiled [202/318]: event_listener_strategy
  9.50s  INFO Compiled [203/318]: crc32fast
  9.52s  INFO Compiled [205/318]: build-script-build
  9.54s  INFO Compiled [206/318]: polling
  9.54s  INFO Compiled [207/318]: no_std_io2
  9.55s  INFO Compiled [208/318]: aligned
  9.66s  INFO Compiled [209/318]: num_bigint
  9.71s  INFO Compiled [210/318]: quick_error
  9.73s  INFO Compiled [211/318]: profiling_procmacros
  9.74s  INFO Compiled [212/318]: foreign_types_shared
  9.77s  INFO Compiled [213/318]: bitflags
  9.79s  INFO Compiled [214/318]: cfg_aliases
  9.81s  INFO Compiled [215/318]: foreign_types_macros
  9.83s  INFO Compiled [216/318]: arg_enum_proc_macro
  9.83s  INFO Compiled [217/318]: pastey
  9.92s  INFO Compiled [218/318]: foldhash
  9.94s  INFO Compiled [219/318]: raw_window_handle
  9.96s  INFO Compiled [220/318]: y4m
 10.01s  INFO Compiled [221/318]: core_graphics_types
 10.05s  INFO Compiled [222/318]: build-script-build
 10.16s  INFO Compiled [224/318]: rustix
 10.31s  INFO Compiled [225/318]: hashbrown
 10.32s  INFO Compiled [226/318]: foreign_types
 10.37s  INFO Compiled [227/318]: bitstream_io
 10.51s  INFO Compiled [228/318]: copypasta
 10.61s  INFO Compiled [229/318]: flate2
 10.64s  INFO Compiled [230/318]: maybe_rayon
 10.95s  INFO Compiled [232/318]: profiling
 10.97s  INFO Compiled [233/318]: num_complex
 11.13s  INFO Compiled [234/318]: objc2_app_kit
 11.31s  INFO Compiled [236/318]: async_io
 11.31s  INFO Compiled [237/318]: nom
 11.38s  INFO Compiled [238/318]: av_scenechange
 11.39s  INFO Compiled [239/318]: objc2_core_image
 11.46s  INFO Compiled [241/318]: objc2_cloud_kit
 11.51s  INFO Compiled [242/318]: str_indices
 11.53s  INFO Compiled [243/318]: atomic_waker
 11.57s  INFO Compiled [244/318]: pulp_wasm_simd_flag
 11.58s  INFO Compiled [245/318]: simd_helpers
 11.60s  INFO Compiled [246/318]: reborrow
 11.63s  INFO Compiled [247/318]: debug_unreachable
 11.66s  INFO Compiled [248/318]: objc2_core_data
 11.74s  INFO Compiled [249/318]: imgref
 11.76s  INFO Compiled [250/318]: zerocopy
 11.77s  INFO Compiled [251/318]: noop_proc_macro
 11.80s  INFO Compiled [252/318]: zune_core
 11.83s  INFO Compiled [253/318]: loop9
 11.88s  INFO Compiled [254/318]: skia_bindings
 11.90s  INFO Compiled [255/318]: libm
 11.95s  INFO Compiled [256/318]: num_derive
 12.06s  INFO Compiled [257/318]: half
 12.10s  INFO Compiled [258/318]: piper
 12.22s  INFO Compiled [259/318]: weezl
 12.34s  INFO Compiled [260/318]: core_graphics
 12.35s  INFO Compiled [261/318]: async_channel
 12.73s  INFO Compiled [262/318]: zune_inflate
 12.86s  INFO Compiled [263/318]: zune_jpeg
 12.93s  INFO Compiled [265/318]: easer
 12.94s  INFO Compiled [266/318]: avif_serialize
 13.13s  INFO Compiled [267/318]: build-script-build
 13.14s  INFO Compiled [268/318]: rgb
 13.28s  INFO Compiled [269/318]: byteorder_lite
 13.34s  INFO Compiled [270/318]: av1_grain
 13.35s  INFO Compiled [271/318]: color_quant
 13.37s  INFO Compiled [272/318]: unicode_segmentation
 13.39s  INFO Compiled [273/318]: lebe
 13.46s  INFO Compiled [274/318]: async_task
 13.47s  INFO Compiled [275/318]: bit_field
 13.47s  INFO Compiled [276/318]: fdeflate
 13.48s  INFO Compiled [277/318]: dpi
 13.65s  INFO Compiled [278/318]: smol_str
 13.70s  INFO Compiled [279/318]: fax
 13.89s  INFO Compiled [280/318]: blocking
 14.92s  INFO Compiled [281/318]: pulp
 14.97s  INFO Compiled [282/318]: freya_engine
 15.04s  INFO Compiled [283/318]: ropey
 15.41s  INFO Compiled [284/318]: gif
 15.44s  INFO Compiled [285/318]: accesskit_consumer
 16.09s  INFO Compiled [287/318]: image_webp
 16.35s  INFO Compiled [288/318]: tiff
 17.11s  INFO Compiled [289/318]: objc2_quartz_core
 17.29s  INFO Compiled [290/318]: objc2_metal
 17.51s  INFO Compiled [291/318]: objc2_foundation
 17.55s  INFO Compiled [292/318]: winit
 17.64s  INFO Compiled [293/318]: accesskit_winit
