  0.00s  INFO Bundling project...
  4.14s  INFO Compiled [146/544]: syn
  4.19s  INFO Compiled [149/544]: image_webp
  4.24s  INFO Compiled [150/544]: objc2_core_foundation
  4.28s  INFO Compiled [151/544]: num_bigint
  4.41s  INFO Compiled [153/544]: fdeflate
  4.45s  INFO Compiled [154/544]: roxmltree
  4.55s  INFO Compiled [156/544]: displaydoc
  4.68s  INFO Compiled [158/544]: data_url
  4.70s  INFO Compiled [159/544]: yoke_derive
  4.73s  INFO Compiled [160/544]: unicode_bidi
  4.74s  INFO Compiled [161/544]: zerofrom_derive
  4.75s  INFO Compiled [162/544]: equator_macro
  4.76s  INFO Compiled [163/544]: zerovec_derive
  4.76s  INFO Compiled [164/544]: bytemuck_derive
  4.76s  INFO Compiled [165/544]: xmlwriter
  4.83s  INFO Compiled [166/544]: semver
  4.86s  INFO Compiled [167/544]: build-script-build
  4.87s  INFO Compiled [168/544]: thiserror_impl
  4.87s  INFO Compiled [169/544]: unicode_vo
  4.89s  INFO Compiled [170/544]: critical_section
  4.90s  INFO Compiled [171/544]: imagesize
  4.93s  INFO Compiled [172/544]: float_cmp
  4.94s  INFO Compiled [173/544]: pico_args
  4.97s  INFO Compiled [174/544]: base64
  4.98s  INFO Compiled [175/544]: strict_num
  5.07s  INFO Compiled [176/544]: portable_atomic
  5.08s  INFO Compiled [177/544]: zerofrom
  5.08s  INFO Compiled [178/544]: zerofrom
  5.08s  INFO Compiled [179/544]: rustc_version
  5.10s  INFO Compiled [180/544]: icu_decimal_data
  5.21s  INFO Compiled [181/544]: anyhow
  5.26s  INFO Compiled [182/544]: strum_macros
  5.30s  INFO Compiled [183/544]: objc2_core_text
  5.34s  INFO Compiled [184/544]: icu_locale_data
  5.36s  INFO Compiled [185/544]: equator
  5.43s  INFO Compiled [186/544]: aligned_vec
  5.47s  INFO Compiled [187/544]: num_rational
  5.51s  INFO Compiled [188/544]: v_frame
  5.64s  INFO Compiled [189/544]: bytemuck
  5.65s  INFO Compiled [190/544]: bytemuck
  5.77s  INFO Compiled [191/544]: objc2_foundation
  5.78s  INFO Compiled [192/544]: derive_more_impl
  5.78s  INFO Compiled [193/544]: font_types
  5.79s  INFO Compiled [194/544]: font_types
  5.84s  INFO Compiled [195/544]: thiserror
  5.91s  INFO Compiled [196/544]: rgb
  5.93s  INFO Compiled [197/544]: zerocopy_derive
  6.07s  INFO Compiled [199/544]: tiny_skia_path
  6.31s  INFO Compiled [200/544]: yoke
  6.32s  INFO Compiled [201/544]: yoke
  6.32s  INFO Compiled [202/544]: objc2_quartz_core
  6.67s  INFO Compiled [203/544]: fixed_decimal
  6.74s  INFO Compiled [204/544]: objc2
  6.93s  INFO Compiled [205/544]: tiny_skia
  7.00s  INFO Compiled [206/544]: png
  7.01s  INFO Compiled [207/544]: zerotrie
  7.07s  INFO Compiled [208/544]: rustybuzz
  7.18s  INFO Compiled [209/544]: memmap2
  7.22s  INFO Compiled [210/544]: zerovec
  7.23s  INFO Compiled [211/544]: getopts
  7.27s  INFO Compiled [212/544]: zerovec
  7.29s  INFO Compiled [213/544]: tinystr
  7.30s  INFO Compiled [214/544]: objc2_core_graphics
  7.33s  INFO Compiled [215/544]: tinystr
  7.34s  INFO Compiled [216/544]: potential_utf
  7.38s  INFO Compiled [217/544]: potential_utf
  7.56s  INFO Compiled [218/544]: zerotrie
  7.62s  INFO Compiled [219/544]: icu_collections
  7.74s  INFO Compiled [222/544]: icu_collections
  7.78s  INFO Compiled [223/544]: objc2_foundation
  7.80s  INFO Compiled [224/544]: build-script-build
  7.82s  INFO Compiled [225/544]: as_slice
  7.85s  INFO Compiled [227/544]: arrayref
  7.93s  INFO Compiled [228/544]: rayon
  7.98s  INFO Compiled [229/544]: polycool
  7.99s  INFO Compiled [230/544]: icu_locale_core
  7.99s  INFO Compiled [231/544]: icu_provider
  8.01s  INFO Compiled [232/544]: allocator_api2
  8.02s  INFO Compiled [233/544]: parlance
  8.04s  INFO Compiled [234/544]: equivalent
  8.05s  INFO Compiled [235/544]: pulldown_cmark_escape
  8.06s  INFO Compiled [236/544]: equivalent
  8.08s  INFO Compiled [237/544]: tinyvec_macros
  8.11s  INFO Compiled [238/544]: linebender_resource_handle
  8.13s  INFO Compiled [239/544]: built
  8.18s  INFO Compiled [240/544]: usvg
  8.22s  INFO Compiled [241/544]: build-script-build
  8.26s  INFO Compiled [242/544]: build-script-build
  8.31s  INFO Compiled [243/544]: unicase
  8.48s  INFO Compiled [245/544]: icu_locale
  8.54s  INFO Compiled [246/544]: memchr
  8.63s  INFO Compiled [247/544]: icu_decimal
  8.72s  INFO Compiled [248/544]: icu_provider
  8.77s  INFO Compiled [249/544]: winnow
  8.95s  INFO Compiled [251/544]: icu_normalizer
  9.05s  INFO Compiled [252/544]: build-script-build
  9.05s  INFO Compiled [253/544]: icu_properties
  9.09s  INFO Compiled [254/544]: pulldown_cmark
  9.10s  INFO Compiled [255/544]: toml_parser
  9.13s  INFO Compiled [256/544]: ttf_parser
  9.18s  INFO Compiled [257/544]: aligned
  9.20s  INFO Compiled [258/544]: fontique
  9.25s  INFO Compiled [259/544]: tinyvec
  9.27s  INFO Compiled [260/544]: icu_properties_data
  9.30s  INFO Compiled [261/544]: icu_normalizer_data
