  0.00s  INFO Bundling project...
  6.20s  INFO Compiled [145/630]: zerofrom
  6.25s  INFO Compiled [146/630]: build-script-build
  6.35s  INFO Compiled [147/630]: typenum
  6.39s  INFO Compiled [148/630]: build-script-build
  6.42s  INFO Compiled [149/630]: litemap
  6.45s  INFO Compiled [150/630]: thiserror
  6.46s  INFO Compiled [151/630]: rustc_hash
  6.48s  INFO Compiled [152/630]: writeable
  6.49s  INFO Compiled [153/630]: objc2_encode
  6.52s  INFO Compiled [154/630]: async_io
  6.68s  INFO Compiled [155/630]: generic_array
  6.79s  INFO Compiled [156/630]: bytemuck
  6.86s  INFO Compiled [157/630]: rustls_pki_types
  6.91s  INFO Compiled [158/630]: blocking
  7.13s  INFO Compiled [159/630]: foreign_types_macros
  7.37s  INFO Compiled [161/630]: equator_macro
  7.40s  INFO Compiled [162/630]: serde
  7.69s  INFO Compiled [164/630]: async_lock
  7.92s  INFO Compiled [165/630]: yoke
  7.97s  INFO Compiled [166/630]: futures_util
  8.06s  INFO Compiled [167/630]: objc2
  8.09s  INFO Compiled [168/630]: foreign_types_shared
  8.14s  INFO Compiled [169/630]: utf8_iter
  8.23s  INFO Compiled [171/630]: http
  8.26s  INFO Compiled [172/630]: build-script-build
  8.27s  INFO Compiled [173/630]: build-script-build
  8.31s  INFO Compiled [174/630]: minimal_lexical
  8.35s  INFO Compiled [175/630]: build-script-build
  8.36s  INFO Compiled [176/630]: build-script-build
  8.39s  INFO Compiled [178/630]: rayon_core
  8.41s  INFO Compiled [179/630]: tokio
  8.42s  INFO Compiled [180/630]: build-script-build
  8.91s  INFO Compiled [181/630]: nom
  9.16s  INFO Compiled [183/630]: serde
  9.45s  INFO Compiled [185/630]: strum_macros
  9.49s  INFO Compiled [186/630]: block_buffer
  9.53s  INFO Compiled [187/630]: crypto_common
  9.74s  INFO Compiled [188/630]: zerovec
  9.85s  INFO Compiled [189/630]: tinystr
  9.95s  INFO Compiled [191/630]: zerotrie
  9.95s  INFO Compiled [192/630]: thiserror_impl
  9.99s  INFO Compiled [193/630]: potential_utf
 10.13s  INFO Compiled [195/630]: getrandom
 10.15s  INFO Compiled [196/630]: num_integer
 10.18s  INFO Compiled [197/630]: signal_hook_registry
 10.31s  INFO Compiled [198/630]: icu_collections
 10.31s  INFO Compiled [199/630]: core_foundation
 10.37s  INFO Compiled [201/630]: libloading
 10.48s  INFO Compiled [203/630]: build-script-build
 10.53s  INFO Compiled [204/630]: either
 10.56s  INFO Compiled [205/630]: untrusted
 10.58s  INFO Compiled [206/630]: icu_provider
 10.61s  INFO Compiled [207/630]: build-script-build
 10.63s  INFO Compiled [208/630]: bitflags
 10.65s  INFO Compiled [209/630]: tracing_core
 10.66s  INFO Compiled [210/630]: build-script-build
 10.97s  INFO Compiled [212/630]: foreign_types
 11.02s  INFO Compiled [213/630]: itertools
 11.20s  INFO Compiled [215/630]: icu_locale_core
 11.22s  INFO Compiled [216/630]: paste
 11.28s  INFO Compiled [217/630]: equator
 11.37s  INFO Compiled [218/630]: aligned_vec
 11.86s  INFO Compiled [220/630]: zmij
 11.90s  INFO Compiled [221/630]: object
 11.94s  INFO Compiled [222/630]: icu_normalizer_data
 12.01s  INFO Compiled [223/630]: tracing
 12.08s  INFO Compiled [225/630]: icu_properties_data
 12.16s  INFO Compiled [226/630]: digest
 12.17s  INFO Compiled [227/630]: async_signal
 12.48s  INFO Compiled [229/630]: cexpr
 12.57s  INFO Compiled [231/630]: http_body
 12.60s  INFO Compiled [232/630]: aho_corasick
 12.63s  INFO Compiled [233/630]: block_buffer
 12.65s  INFO Compiled [234/630]: crypto_common
 12.66s  INFO Compiled [235/630]: clang_sys
 12.77s  INFO Compiled [236/630]: prettyplease
 12.78s  INFO Compiled [237/630]: thiserror
 12.84s  INFO Compiled [238/630]: cpufeatures
 12.98s  INFO Compiled [239/630]: zerocopy
 12.98s  INFO Compiled [240/630]: objc2_core_foundation
 13.02s  INFO Compiled [241/630]: regex
 13.05s  INFO Compiled [242/630]: malloc_buf
 13.08s  INFO Compiled [243/630]: async_executor
 13.17s  INFO Compiled [244/630]: build-script-build
 13.18s  INFO Compiled [245/630]: euclid
 13.24s  INFO Compiled [247/630]: same_file
 13.24s  INFO Compiled [248/630]: pin_project_internal
 13.25s  INFO Compiled [249/630]: build-script-build
 13.26s  INFO Compiled [250/630]: half
 13.27s  INFO Compiled [251/630]: tokio_util
 13.28s  INFO Compiled [252/630]: bstr
 13.31s  INFO Compiled [253/630]: block
 13.32s  INFO Compiled [254/630]: try_lock
 13.32s  INFO Compiled [255/630]: same_file
 13.32s  INFO Compiled [256/630]: shlex
 13.33s  INFO Compiled [257/630]: fnv
 13.33s  INFO Compiled [258/630]: itoa
 13.35s  INFO Compiled [259/630]: ring
 13.42s  INFO Compiled [260/630]: build-script-build
 13.43s  INFO Compiled [261/630]: want
 13.44s  INFO Compiled [262/630]: build-script-build
 13.46s  INFO Compiled [263/630]: semver
 13.53s  INFO Compiled [264/630]: rayon
 13.54s  INFO Compiled [265/630]: rustc_version
 13.78s  INFO Compiled [267/630]: walkdir
 13.81s  INFO Compiled [268/630]: globset
 13.83s  INFO Compiled [269/630]: serde_json
 13.88s  INFO Compiled [270/630]: walkdir
 14.05s  INFO Compiled [272/630]: sha2
 14.08s  INFO Compiled [273/630]: objc
 14.15s  INFO Compiled [274/630]: digest
 14.19s  INFO Compiled [275/630]: num_bigint
 14.27s  INFO Compiled [277/630]: libm
 14.47s  INFO Compiled [278/630]: pin_project
 14.51s  INFO Compiled [279/630]: httparse
 14.63s  INFO Compiled [280/630]: regex_syntax
 14.76s  INFO Compiled [281/630]: v_frame
 14.87s  INFO Compiled [283/630]: num_rational
 14.88s  INFO Compiled [284/630]: toml_datetime
 14.93s  INFO Compiled [285/630]: serde_spanned
 14.95s  INFO Compiled [286/630]: block2
 14.97s  INFO Compiled [287/630]: ar_archive_writer
 14.99s  INFO Compiled [288/630]: icu_properties
 15.00s  INFO Compiled [289/630]: async_process
 15.01s  INFO Compiled [290/630]: icu_normalizer
 15.02s  INFO Compiled [291/630]: errno
 15.05s  INFO Compiled [292/630]: core_graphics_types
 15.06s  INFO Compiled [293/630]: profiling_procmacros
 15.07s  INFO Compiled [294/630]: cpufeatures
 15.08s  INFO Compiled [296/630]: security_framework_sys
 15.10s  INFO Compiled [298/630]: core_maths
 15.14s  INFO Compiled [299/630]: as_slice
 15.22s  INFO Compiled [302/630]: unicase
 15.27s  INFO Compiled [303/630]: build-script-build
 15.31s  INFO Compiled [304/630]: tower_service
 15.33s  INFO Compiled [305/630]: once_cell
 15.34s  INFO Compiled [306/630]: percent_encoding
 15.40s  INFO Compiled [307/630]: subtle
 15.40s  INFO Compiled [308/630]: build-script-build
 15.46s  INFO Compiled [309/630]: float_cmp
 15.47s  INFO Compiled [310/630]: bstr
 15.52s  INFO Compiled [311/630]: build-script-build
 15.56s  INFO Compiled [312/630]: toml_write
 15.57s  INFO Compiled [313/630]: build-script-build
 15.62s  INFO Compiled [314/630]: fdeflate
 15.66s  INFO Compiled [315/630]: compression_core
