app,compile_ok,clean_build_secs,binary_bytes,pdb_bytes,run_alive_10s_default,visible_window_default,workaround_variant,workaround_alive_10s,default_result,workaround_result,notes
tauri-peek,no,23.03,0,0,no,no,msmf-manifest,no,build-failed,build-failed,build failed: error: failed to run custom build command for `tauri-peek v0.1.0 (C:\Users\M.Pertsev\Desktop\workspace\OSS\rust-gui-desktop-ecosystem-state\apps\tauri-peek)` | build failed: error: failed to run custom build command for `tauri-peek v0.1.0 (C:\Users\M.Pertsev\Desktop\workspace\OSS\rust-gui-desktop-ecosystem-state\apps\tauri-peek)`
tauri-tray,no,81.52,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: failed to run custom build command for `tauri-tray v0.1.0 (C:\Users\M.Pertsev\Desktop\workspace\OSS\rust-gui-desktop-ecosystem-state\apps\tauri-tray)`
vizia-app,no,54.38,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: linking with `link.exe` failed: exit code: 1120
vizia-babel,no,50.70,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: linking with `link.exe` failed: exit code: 1120
vizia-board,no,50.16,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: linking with `link.exe` failed: exit code: 1120
vizia-dash,no,50.85,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: linking with `link.exe` failed: exit code: 1120
vizia-fetch,no,61.51,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: linking with `link.exe` failed: exit code: 1120
vizia-grid,no,52.34,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: linking with `link.exe` failed: exit code: 1120
vizia-peek,no,70.39,0,0,no,no,msmf-manifest,no,build-failed,build-failed,build failed: error: linking with `link.exe` failed: exit code: 1120 | build failed: error: linking with `link.exe` failed: exit code: 1120
vizia-tray,no,61.17,0,0,no,no,none,not_run,build-failed,not_run,build failed: error: linking with `link.exe` failed: exit code: 1120
xilem-app,yes,85.05,12328448,5836800,yes,yes,none,not_run,alive+window,not_run,
xilem-babel,yes,82.05,12342272,5836800,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
xilem-board,yes,84.07,12519424,6033408,yes,yes,none,not_run,alive+window,not_run,
xilem-dash,yes,82.24,12296704,5828608,yes,yes,none,not_run,alive+window,not_run,
xilem-fetch,yes,89.17,13872128,6459392,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
xilem-grid,yes,78.83,12432896,5935104,no,no,wgpu-dx12,yes,died,alive+window,process exited before 10s (exit=101)
xilem-peek,yes,100.86,13246464,6639616,no,no,msmf-manifest,yes,died,alive+window,process exited before 10s (exit=101)
xilem-tray,yes,92.32,12030976,6082560,no,no,wgpu-gl,no,died,died,process exited before 10s (exit=101) | process exited before 10s (exit=101) | process exited before 10s (exit=101)
