app,sample_index,main_pid,helper_pids,cpu_pct,rss_kib,rss_mib
iced-dash,1,33420,,0.0,225336,220.055
iced-dash,2,33420,,0.0,225276,219.996
iced-dash,3,33420,,0.0,225280,220.000
iced-dash,4,33420,,5.0,225280,220.000
iced-dash,5,33420,,0.0,225284,220.004
iced-dash,6,33420,,0.0,225284,220.004
iced-dash,7,33420,,11.0,225368,220.086
iced-dash,8,33420,,0.0,225416,220.133
iced-dash,9,33420,,0.0,225420,220.137
iced-dash,10,33420,,0.0,225456,220.172
iced-dash,11,33420,,0.0,225484,220.199
iced-dash,12,33420,,0.0,225488,220.203
iced-dash,13,33420,,0.0,225496,220.211
iced-dash,14,33420,,0.0,225496,220.211
iced-dash,15,33420,,0.0,225496,220.211
iced-dash,16,33420,,0.0,225496,220.211
iced-dash,17,33420,,0.0,225528,220.242
iced-dash,18,33420,,5.0,225528,220.242
iced-dash,19,33420,,5.0,225528,220.242
iced-dash,20,33420,,0.0,225528,220.242
iced-dash,21,33420,,0.0,225528,220.242
iced-dash,22,33420,,5.0,225528,220.242
iced-dash,23,33420,,5.0,225528,220.242
iced-dash,24,33420,,0.0,225528,220.242
iced-dash,25,33420,,0.0,225528,220.242
iced-dash,26,33420,,5.0,225528,220.242
iced-dash,27,33420,,0.0,225528,220.242
iced-dash,28,33420,,0.0,225528,220.242
iced-dash,29,33420,,0.0,225528,220.242
iced-dash,30,33420,,0.0,225528,220.242
egui-dash,1,29048,,5.0,353968,345.672
egui-dash,2,29048,,10.0,354084,345.785
egui-dash,3,29048,,11.0,354024,345.727
egui-dash,4,29048,,5.0,354036,345.738
egui-dash,5,29048,,5.0,354036,345.738
egui-dash,6,29048,,0.0,354116,345.816
egui-dash,7,29048,,5.0,354116,345.816
egui-dash,8,29048,,10.0,354116,345.816
egui-dash,9,29048,,5.0,354116,345.816
egui-dash,10,29048,,5.0,354116,345.816
egui-dash,11,29048,,0.0,354116,345.816
egui-dash,12,29048,,0.0,354116,345.816
egui-dash,13,29048,,0.0,354116,345.816
egui-dash,14,29048,,11.0,354116,345.816
egui-dash,15,29048,,5.0,354116,345.816
egui-dash,16,29048,,5.0,354116,345.816
egui-dash,17,29048,,11.0,354116,345.816
egui-dash,18,29048,,5.0,354116,345.816
egui-dash,19,29048,,5.0,354120,345.820
egui-dash,20,29048,,0.0,354120,345.820
egui-dash,21,29048,,0.0,354120,345.820
egui-dash,22,29048,,11.0,354120,345.820
egui-dash,23,29048,,5.0,354120,345.820
egui-dash,24,29048,,0.0,354120,345.820
egui-dash,25,29048,,0.0,354120,345.820
egui-dash,26,29048,,0.0,354120,345.820
egui-dash,27,29048,,5.0,354120,345.820
egui-dash,28,29048,,0.0,354120,345.820
egui-dash,29,29048,,5.0,354120,345.820
egui-dash,30,29048,,0.0,354124,345.824
gpui-dash,1,35452,,5.0,100196,97.848
gpui-dash,2,35452,,0.0,100220,97.871
gpui-dash,3,35452,,0.0,100036,97.691
gpui-dash,4,35452,,5.0,100172,97.824
gpui-dash,5,35452,,10.0,100300,97.949
gpui-dash,6,35452,,16.0,100308,97.957
gpui-dash,7,35452,,5.0,100316,97.965
gpui-dash,8,35452,,0.0,100324,97.973
gpui-dash,9,35452,,0.0,100108,97.762
gpui-dash,10,35452,,0.0,100292,97.941
gpui-dash,11,35452,,0.0,100348,97.996
gpui-dash,12,35452,,5.0,100348,97.996
gpui-dash,13,35452,,0.0,100352,98.000
gpui-dash,14,35452,,0.0,100356,98.004
gpui-dash,15,35452,,0.0,100356,98.004
gpui-dash,16,35452,,0.0,100356,98.004
gpui-dash,17,35452,,11.0,100168,97.820
gpui-dash,18,35452,,11.0,100176,97.828
gpui-dash,19,35452,,0.0,100380,98.027
gpui-dash,20,35452,,5.0,100380,98.027
gpui-dash,21,35452,,5.0,100320,97.969
gpui-dash,22,35452,,0.0,100320,97.969
gpui-dash,23,35452,,11.0,100320,97.969
gpui-dash,24,35452,,0.0,100320,97.969
gpui-dash,25,35452,,0.0,100320,97.969
gpui-dash,26,35452,,5.0,100352,98.000
gpui-dash,27,35452,,0.0,100316,97.965
gpui-dash,28,35452,,0.0,100312,97.961
gpui-dash,29,35452,,0.0,100316,97.965
gpui-dash,30,35452,,5.0,100316,97.965
xilem-dash,1,37756,,0.0,506584,494.711
xilem-dash,2,37756,,0.0,506668,494.793
xilem-dash,3,37756,,5.0,506668,494.793
xilem-dash,4,37756,,0.0,506668,494.793
xilem-dash,5,37756,,0.0,506672,494.797
xilem-dash,6,37756,,0.0,506672,494.797
xilem-dash,7,37756,,0.0,506672,494.797
xilem-dash,8,37756,,0.0,506744,494.867
xilem-dash,9,37756,,5.0,506744,494.867
xilem-dash,10,37756,,5.0,506748,494.871
xilem-dash,11,37756,,0.0,506752,494.875
xilem-dash,12,37756,,5.0,506752,494.875
xilem-dash,13,37756,,0.0,506752,494.875
xilem-dash,14,37756,,5.0,506752,494.875
xilem-dash,15,37756,,11.0,506752,494.875
xilem-dash,16,37756,,17.0,506752,494.875
xilem-dash,17,37756,,0.0,506812,494.934
xilem-dash,18,37756,,0.0,506852,494.973
xilem-dash,19,37756,,11.0,506864,494.984
xilem-dash,20,37756,,0.0,506868,494.988
xilem-dash,21,37756,,0.0,506932,495.051
xilem-dash,22,37756,,0.0,506932,495.051
xilem-dash,23,37756,,5.0,506932,495.051
xilem-dash,24,37756,,0.0,506932,495.051
xilem-dash,25,37756,,17.0,506932,495.051
xilem-dash,26,37756,,0.0,506932,495.051
xilem-dash,27,37756,,5.0,506932,495.051
xilem-dash,28,37756,,0.0,506932,495.051
xilem-dash,29,37756,,0.0,506932,495.051
xilem-dash,30,37756,,0.0,506932,495.051
slint-dash,1,36376,,38.0,156912,153.234
slint-dash,2,36376,,5.0,157004,153.324
slint-dash,3,36376,,10.0,146764,143.324
slint-dash,4,36376,,22.0,146840,143.398
slint-dash,5,36376,,10.0,146840,143.398
slint-dash,6,36376,,11.0,146840,143.398
slint-dash,7,36376,,28.0,146840,143.398
slint-dash,8,36376,,11.0,146840,143.398
slint-dash,9,36376,,16.0,146840,143.398
slint-dash,10,36376,,11.0,121964,119.105
slint-dash,11,36376,,5.0,121964,119.105
slint-dash,12,36376,,10.0,121964,119.105
slint-dash,13,36376,,11.0,121968,119.109
slint-dash,14,36376,,22.0,121968,119.109
slint-dash,15,36376,,16.0,121968,119.109
slint-dash,16,36376,,33.0,121968,119.109
slint-dash,17,36376,,11.0,121968,119.109
slint-dash,18,36376,,16.0,121968,119.109
slint-dash,19,36376,,0.0,121972,119.113
slint-dash,20,36376,,11.0,121972,119.113
slint-dash,21,36376,,11.0,121972,119.113
slint-dash,22,36376,,16.0,121972,119.113
slint-dash,23,36376,,22.0,121972,119.113
slint-dash,24,36376,,28.0,121996,119.137
slint-dash,25,36376,,5.0,121996,119.137
slint-dash,26,36376,,17.0,122024,119.164
slint-dash,27,36376,,11.0,122024,119.164
slint-dash,28,36376,,16.0,122024,119.164
slint-dash,29,36376,,22.0,122024,119.164
slint-dash,30,36376,,28.0,122028,119.168
dioxus-dash,1,3220,3816;10468;31068;33040;35644;36248,15.0,468308,457.332
dioxus-dash,2,3220,3816;10468;31068;33040;35644;36248,0.0,461924,451.098
dioxus-dash,3,3220,3816;10468;31068;33040;35644;36248,25.0,464536,453.648
dioxus-dash,4,3220,3816;10468;31068;33040;35644;36248,16.0,461812,450.988
dioxus-dash,5,3220,3816;10468;31068;33040;35644;36248,16.0,462980,452.129
dioxus-dash,6,3220,3816;10468;31068;33040;35644;36248,10.0,470276,459.254
dioxus-dash,7,3220,3816;10468;31068;33040;35644;36248,0.0,472136,461.070
dioxus-dash,8,3220,3816;10468;31068;33040;35644;36248,21.0,475856,464.703
dioxus-dash,9,3220,3816;10468;31068;33040;35644;36248,11.0,482564,471.254
dioxus-dash,10,3220,3816;10468;31068;33040;35644;36248,0.0,483952,472.609
dioxus-dash,11,3220,3816;10468;31068;33040;35644;36248,0.0,485716,474.332
dioxus-dash,12,3220,3816;10468;31068;33040;35644;36248,15.0,491352,479.836
dioxus-dash,13,3220,3816;10468;31068;33040;35644;36248,21.0,493120,481.563
dioxus-dash,14,3220,3816;10468;31068;33040;35644;36248,0.0,491756,480.230
dioxus-dash,15,3220,3816;10468;31068;33040;35644;36248,0.0,493664,482.094
dioxus-dash,16,3220,3816;10468;31068;33040;35644;36248,16.0,495252,483.645
dioxus-dash,17,3220,3816;10468;31068;33040;35644;36248,0.0,496832,485.188
dioxus-dash,18,3220,3816;10468;31068;33040;35644;36248,26.0,499200,487.500
dioxus-dash,19,3220,3816;10468;31068;33040;35644;36248,0.0,499320,487.617
dioxus-dash,20,3220,3816;10468;31068;33040;35644;36248,11.0,499548,487.840
dioxus-dash,21,3220,3816;10468;31068;33040;35644;36248,0.0,500316,488.590
dioxus-dash,22,3220,3816;10468;31068;33040;35644;36248,0.0,496640,485.000
dioxus-dash,23,3220,3816;10468;31068;33040;35644;36248,16.0,497456,485.797
dioxus-dash,24,3220,3816;10468;31068;33040;35644;36248,0.0,494228,482.645
dioxus-dash,25,3220,3816;10468;31068;33040;35644;36248,21.0,487952,476.516
dioxus-dash,26,3220,3816;10468;31068;33040;35644;36248,0.0,488412,476.965
dioxus-dash,27,3220,3816;10468;31068;33040;35644;36248,0.0,491532,480.012
dioxus-dash,28,3220,3816;10468;31068;33040;35644;36248,11.0,489948,478.465
dioxus-dash,29,3220,3816;10468;31068;33040;35644;36248,26.0,490660,479.160
dioxus-dash,30,3220,3816;10468;31068;33040;35644;36248,0.0,490528,479.031
floem-dash,1,27076,,0.0,326092,318.449
floem-dash,2,27076,,0.0,326232,318.586
floem-dash,3,27076,,5.0,326236,318.590
floem-dash,4,27076,,0.0,326248,318.602
floem-dash,5,27076,,0.0,326248,318.602
floem-dash,6,27076,,0.0,326256,318.609
floem-dash,7,27076,,11.0,334564,326.723
floem-dash,8,27076,,0.0,334580,326.738
floem-dash,9,27076,,5.0,334724,326.879
floem-dash,10,27076,,0.0,334732,326.887
floem-dash,11,27076,,0.0,326976,319.313
floem-dash,12,27076,,0.0,326984,319.320
floem-dash,13,27076,,0.0,326984,319.320
floem-dash,14,27076,,0.0,326984,319.320
floem-dash,15,27076,,0.0,326992,319.328
floem-dash,16,27076,,0.0,327092,319.426
floem-dash,17,27076,,0.0,327096,319.430
floem-dash,18,27076,,0.0,327104,319.438
floem-dash,19,27076,,0.0,327108,319.441
floem-dash,20,27076,,0.0,327108,319.441
floem-dash,21,27076,,0.0,327108,319.441
floem-dash,22,27076,,0.0,327108,319.441
floem-dash,23,27076,,0.0,327108,319.441
floem-dash,24,27076,,0.0,318916,311.441
floem-dash,25,27076,,5.0,318916,311.441
floem-dash,26,27076,,0.0,318916,311.441
floem-dash,27,27076,,0.0,318916,311.441
floem-dash,28,27076,,5.0,318916,311.441
floem-dash,29,27076,,0.0,318916,311.441
